county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
KAJIADO WEST,"42,367",0.6,6.6,27.2,0.7,57.3,7.1,0.5,0.0
LOITOKITOK,"45,581",0.8,5.1,11.7,0.6,66.1,15.5,0.3,0.0
MASHUURU,"15,908",0.9,11.0,17.8,0.7,50.7,18.8,0.1,0.0
KERICHO,"205,932",0.7,1.4,9.5,0.3,79.0,8.9,0.1,0.0
BELGUT,"34,978",0.8,1.0,8.3,0.3,84.7,4.9,0.0,0.0
BURETI,"43,098",0.7,1.5,9.1,0.4,83.4,4.8,0.2,0.0
KERICHO EAST,"44,246",0.7,3.1,22.1,0.6,54.4,19.0,0.0,0.1
KIPKELION,"24,676",0.1,0.4,1.5,0.2,93.5,4.1,0.1,0.0
LONDIANI,"31,739",0.3,0.4,4.5,0.2,83.4,11.2,0.1,0.0
SOIN SIGOWET,"27,195",1.2,1.4,4.3,0.3,86.5,6.0,0.3,0.0
BOMET,"187,230",0.3,0.8,5.9,0.2,88.4,4.1,0.2,0.0
BOMET EAST,"29,897",0.2,0.3,3.6,0.2,91.1,4.4,0.1,0.0
CHEPALUNGU,"33,850",0.2,0.3,1.5,0.1,95.7,1.8,0.3,0.0
KONOIN,"38,123",0.6,0.8,5.5,0.4,89.0,3.4,0.3,0.0
SOTIK,"47,265",0.3,0.9,6.4,0.2,88.0,4.1,0.2,0.0
BOMET CENTRAL,"38,095",0.4,1.4,11.4,0.3,79.9,6.6,0.1,0.0
KAKAMEGA,"432,284",0.5,2.4,7.4,0.3,80.8,8.2,0.3,0.0
BUTERE,"36,243",0.3,1.2,4.0,0.2,88.0,6.1,0.2,0.0
KAKAMEGA CENTRAL,"51,956",0.9,6.7,28.9,0.6,44.3,18.6,0.1,0.0
KAKAMEGA EAST,"39,589",0.9,2.4,5.4,0.2,85.5,5.1,0.3,0.1
KAKAMEGA NORTH,"50,952",0.4,2.1,4.1,0.2,87.0,6.0,0.2,0.0
KAKAMEGA SOUTH,"26,940",0.2,1.6,4.4,0.2,90.7,2.6,0.2,0.0
KHWISERO,"27,681",0.3,1.4,3.6,0.2,88.7,5.2,0.5,0.0
LIKUYANI,"34,776",0.7,3.0,6.3,0.5,79.8,9.3,0.3,0.0
LUGARI,"27,817",0.6,1.9,4.0,0.3,86.6,6.3,0.3,0.0
MATETE,"13,956",0.3,2.4,3.5,0.3,87.3,5.3,0.9,-
MATUNGU,"36,414",0.4,1.2,2.4,0.2,88.6,6.9,0.3,0.0
MUMIAS EAST,"25,995",0.3,1.7,4.3,0.3,86.5,6.4,0.5,0.0
MUMIAS WEST,"27,650",0.7,1.8,9.0,0.3,67.5,20.6,0.1,0.0
NAVAKHOLO,"32,315",0.3,1.4,2.2,0.3,92.7,2.7,0.4,0.0
VIHIGA,"143,288",0.4,2.4,7.1,0.3,83.8,5.9,0.1,0.0
EMUHAYA,"23,803",0.3,1.5,3.7,0.2,90.3,3.9,0.3,0.0
VIHIGA,"23,359",0.7,2.9,9.4,0.4,79.8,6.8,0.1,0.0
SABATIA,"31,391",0.3,3.1,8.4,0.3,82.4,5.4,0.0,0.0
LUANDA,"26,766",0.3,2.5,7.3,0.3,80.9,8.6,0.1,0.0
HAMISI,"37,965",0.4,2.2,6.5,0.3,85.4,5.2,0.1,0.0
KAKAMEGA FOREST,4,-,-,25.0,25.0,25.0,25.0,-,-
BUNGOMA,"357,714",0.4,2.6,7.2,0.4,78.3,11.0,0.2,0.0
BUMULA,"44,922",0.2,1.6,2.3,0.3,89.9,5.4,0.2,0.0
BUNGOMA CENTRAL,"37,535",0.4,2.5,5.7,0.3,80.2,10.6,0.3,0.0
BUNGOMA EAST,"24,798",0.6,2.9,5.9,0.5,77.3,12.5,0.4,0.0
BUNGOMA NORTH,"24,940",0.3,1.5,3.6,0.3,89.8,4.3,0.1,0.0
BUNGOMA SOUTH,"69,088",0.9,4.8,17.9,0.5,54.0,21.6,0.3,0.0
CHEPTAIS,"26,007",0.2,1.4,2.0,0.3,86.8,9.1,0.2,0.0
KIMILILI,"35,053",0.5,3.1,7.3,0.4,77.4,10.9,0.4,0.0
MT. ELGON,"15,230",0.1,0.7,2.6,0.3,88.9,7.1,0.1,0.0
BUNGOMA WEST,"25,166",0.2,1.0,3.1,0.5,88.0,6.9,0.1,0.0
TONGAREN,"21,343",0.1,1.4,3.5,0.2,89.6,4.8,0.3,0.0
WEBUYE WEST,"32,834",0.2,3.0,8.1,0.2,76.8,11.5,0.1,0.0
MT. ELGON FOREST,798,-,0.1,-,0.4,98.5,1.0,-,-
BUSIA,"197,944",0.5,1.5,6.0,0.4,73.4,18.0,0.2,0.0
BUNYALA,"19,028",0.2,2.4,4.5,0.1,68.8,23.9,0.1,0.0
BUSIA,"33,152",1.0,2.2,10.6,0.5,55.7,29.7,0.3,0.0
BUTULA,"32,199",0.5,1.3,3.2,0.3,82.6,11.6,0.4,0.0
NAMBALE,"23,889",0.3,1.2,3.8,0.3,82.8,11.4,0.2,0.0
SAMIA,"23,813",0.4,1.0,3.9,0.3,81.7,12.5,0.1,-
TESO NORTH,"29,314",0.3,1.3,6.3,0.4,73.9,17.6,0.1,0.0
TESO SOUTH,"36,549",0.6,1.3,7.4,0.6,72.0,18.0,0.1,0.0
SIAYA,"249,341",0.3,2.0,6.0,0.3,72.4,18.8,0.2,0.0
SIAYA,"57,386",0.3,1.7,7.3,0.2,69.1,21.2,0.2,0.1
GEM,"44,696",0.3,1.1,4.2,0.3,79.5,14.5,0.1,0.0
UGENYA,"33,554",0.3,0.9,3.4,0.2,80.3,14.8,0.1,0.0
UGUNJA,"26,321",0.2,1.5,6.3,0.2,74.1,17.5,0.2,0.0
BONDO,"50,454",0.3,3.9,9.1,0.4,58.5,27.5,0.2,0.0
RARIEDA,"36,930",0.2,2.2,4.3,0.3,79.7,12.9,0.3,0.1
KISUMU,"296,846",0.9,7.8,18.7,0.6,49.6,22.2,0.2,0.0
